<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<SIGNAL>,<FACTOR>,<FEE>,<FINALPRICE>
19911126,12.2,12.2,12.2,12.2,9578,-1,proponowana akcja kupna,4.46,16.66
19911203,13.4,13.4,13.4,13.4,0,-1,proponowana akcja kupna,4.9,18.3
19911210,14.7,14.7,14.7,14.7,59201,-1,proponowana akcja kupna,5.37,20.07
19911217,13.3,13.3,13.3,13.3,32690,-1,proponowana akcja kupna,4.86,18.16
19911231,14.6,14.6,14.6,14.6,13129,-1,proponowana akcja kupna,5.34,19.94
19920107,15,15,15,15,17470,-1,proponowana akcja kupna,5.48,20.48
19920109,15,15,15,15,7767,-1,proponowana akcja kupna,5.48,20.48
19920114,14.1,14.1,14.1,14.1,18108,-1,proponowana akcja kupna,5.15,19.25
19920116,14,14,14,14,7666,-1,proponowana akcja kupna,5.12,19.12
19920121,14.6,14.6,14.6,14.6,5041,-1,proponowana akcja kupna,5.34,19.94
19920123,14.8,14.8,14.8,14.8,5301,-1,proponowana akcja kupna,5.41,20.21
19920128,14.6,14.6,14.6,14.6,5676,-1,proponowana akcja kupna,5.34,19.94
19920130,14.5,14.5,14.5,14.5,4547,-1,proponowana akcja kupna,5.3,19.8
19920204,14.4,14.4,14.4,14.4,6926,-1,proponowana akcja kupna,5.26,19.66
19920206,14.6,14.6,14.6,14.6,5585,-1,proponowana akcja kupna,5.34,19.94
19920211,14.3,14.3,14.3,14.3,6333,1,proponowana akcja sprzedaży,4.25,10.05
19920213,14.8,14.8,14.8,14.8,8265,-1,proponowana akcja kupna,5.41,20.21
19920218,15,15,15,15,13630,-1,proponowana akcja kupna,5.48,20.48
19920220,15,15,15,15,7893,-1,proponowana akcja kupna,5.48,20.48
19920225,15.1,15.1,15.1,15.1,17315,-1,proponowana akcja kupna,5.52,20.62
19920227,15.7,15.7,15.7,15.7,19566,-1,proponowana akcja kupna,5.74,21.44
19920303,17.2,17.2,17.2,17.2,10860,-1,proponowana akcja kupna,6.29,23.49
19920305,18,18,18,18,14245,-1,proponowana akcja kupna,6.58,24.58
19920310,18.6,18.6,18.6,18.6,14620,-1,proponowana akcja kupna,6.8,25.4
19920312,18.9,18.9,18.9,18.9,7433,-1,proponowana akcja kupna,6.91,25.81
19920317,17.2,17.2,17.2,17.2,10412,-1,proponowana akcja kupna,6.29,23.49
19920319,18,18,18,18,9647,-1,proponowana akcja kupna,6.58,24.58
19920324,18,18,18,18,8050,-1,proponowana akcja kupna,6.58,24.58
19920326,18.1,18.1,18.1,18.1,8516,-1,proponowana akcja kupna,6.62,24.72
19920331,17.8,17.8,17.8,17.8,7724,-1,proponowana akcja kupna,6.51,24.31
19920402,17,17,17,17,7674,1,proponowana akcja sprzedaży,5.05,11.95
19920407,17,17,17,17,7612,1,proponowana akcja sprzedaży,5.05,11.95
19920409,16.5,16.5,16.5,16.5,6327,1,proponowana akcja sprzedaży,4.9,11.6
19920414,16.5,16.5,16.5,16.5,7758,1,proponowana akcja sprzedaży,4.9,11.6
19920416,16.8,16.8,16.8,16.8,6914,1,proponowana akcja sprzedaży,4.99,11.81
19920423,16.3,16.3,16.3,16.3,11273,1,proponowana akcja sprzedaży,4.85,11.45
19920428,14.7,14.7,14.7,14.7,5990,1,proponowana akcja sprzedaży,4.37,10.33
19920430,14,14,14,14,9400,1,proponowana akcja sprzedaży,4.16,9.84
19920505,14.5,14.5,14.5,14.5,6693,1,proponowana akcja sprzedaży,4.31,10.19
19920507,15,15,15,15,4233,1,proponowana akcja sprzedaży,4.46,10.54
19920512,15,15,15,15,4043,1,proponowana akcja sprzedaży,4.46,10.54
19920514,14.4,14.4,14.4,14.4,3521,1,proponowana akcja sprzedaży,4.28,10.12
19920519,14.2,14.2,14.2,14.2,3613,1,proponowana akcja sprzedaży,4.22,9.98
19920521,12.8,12.8,12.8,12.8,4866,1,proponowana akcja sprzedaży,3.8,9
19920526,14,14,14,14,10386,1,proponowana akcja sprzedaży,4.16,9.84
19920528,14.5,14.5,14.5,14.5,5526,1,proponowana akcja sprzedaży,4.31,10.19
19920602,14.4,14.4,14.4,14.4,7256,1,proponowana akcja sprzedaży,4.28,10.12
19920604,13.9,13.9,13.9,13.9,6891,1,proponowana akcja sprzedaży,4.13,9.77
19920609,12.9,12.9,12.9,12.9,4171,1,proponowana akcja sprzedaży,3.83,9.07
19920611,12.9,12.9,12.9,12.9,4488,1,proponowana akcja sprzedaży,3.83,9.07
19920616,11.7,11.7,11.7,11.7,5645,1,proponowana akcja sprzedaży,3.48,8.22
19920623,10.6,10.6,10.6,10.6,8481,1,proponowana akcja sprzedaży,3.15,7.45
19920625,11.1,11.1,11.1,11.1,2973,1,proponowana akcja sprzedaży,3.3,7.8
19920630,12.2,12.2,12.2,12.2,0,1,proponowana akcja sprzedaży,3.63,8.57
19920702,13.4,13.4,13.4,13.4,0,-1,proponowana akcja kupna,4.9,18.3
19920707,14.7,14.7,14.7,14.7,11395,-1,proponowana akcja kupna,5.37,20.07
19920709,14.9,14.9,14.9,14.9,12604,-1,proponowana akcja kupna,5.45,20.35
19920714,13.8,13.8,13.8,13.8,8330,-1,proponowana akcja kupna,5.04,18.84
19920716,14.4,14.4,14.4,14.4,7604,-1,proponowana akcja kupna,5.26,19.66
19920721,14.3,14.3,14.3,14.3,5846,-1,proponowana akcja kupna,5.23,19.53
19920723,14.3,14.3,14.3,14.3,8416,-1,proponowana akcja kupna,5.23,19.53
19920728,14.7,14.7,14.7,14.7,12956,-1,proponowana akcja kupna,5.37,20.07
19920730,15,15,15,15,12640,-1,proponowana akcja kupna,5.48,20.48
19920804,14.3,14.3,14.3,14.3,7343,-1,proponowana akcja kupna,5.23,19.53
19920806,14.1,14.1,14.1,14.1,2759,1,proponowana akcja sprzedaży,4.19,9.91
19920811,14.1,14.1,14.1,14.1,6496,1,proponowana akcja sprzedaży,4.19,9.91
19920813,14.4,14.4,14.4,14.4,2910,-1,proponowana akcja kupna,5.26,19.66
19920818,14.4,14.4,14.4,14.4,5465,-1,proponowana akcja kupna,5.26,19.66
19920820,14.5,14.5,14.5,14.5,9759,-1,proponowana akcja kupna,5.3,19.8
19920825,15,15,15,15,20287,-1,proponowana akcja kupna,5.48,20.48
19920827,14.5,14.5,14.5,14.5,10531,-1,proponowana akcja kupna,5.3,19.8
19920901,13.9,13.9,13.9,13.9,17989,1,proponowana akcja sprzedaży,4.13,9.77
19920903,14,14,14,14,10250,1,proponowana akcja sprzedaży,4.16,9.84
19920908,13.7,13.7,13.7,13.7,8109,1,proponowana akcja sprzedaży,4.07,9.63
19920910,13.9,13.9,13.9,13.9,8180,1,proponowana akcja sprzedaży,4.13,9.77
19920915,13.5,13.5,13.5,13.5,9284,1,proponowana akcja sprzedaży,4.01,9.49
19920917,13,13,13,13,12938,1,proponowana akcja sprzedaży,3.86,9.14
19920922,13.5,13.5,13.5,13.5,11856,1,proponowana akcja sprzedaży,4.01,9.49
19920924,13.9,13.9,13.9,13.9,13537,-1,proponowana akcja kupna,5.08,18.98
19920929,14.1,14.1,14.1,14.1,23379,-1,proponowana akcja kupna,5.15,19.25
19921001,14.2,14.2,14.2,14.2,22989,-1,proponowana akcja kupna,5.19,19.39
19921006,14.1,14.1,14.1,14.1,10841,-1,proponowana akcja kupna,5.15,19.25
19921008,13.6,13.6,13.6,13.6,5306,1,proponowana akcja sprzedaży,4.04,9.56
19921013,13,13,13,13,8977,1,proponowana akcja sprzedaży,3.86,9.14
19921015,13,13,13,13,3612,1,proponowana akcja sprzedaży,3.86,9.14
19921020,13.3,13.3,13.3,13.3,11728,1,proponowana akcja sprzedaży,3.95,9.35
19921022,12.9,12.9,12.9,12.9,9676,1,proponowana akcja sprzedaży,3.83,9.07
19921027,12.5,12.5,12.5,12.5,10612,1,proponowana akcja sprzedaży,3.72,8.78
19921029,13,13,13,13,11546,1,proponowana akcja sprzedaży,3.86,9.14
19921103,13,13,13,13,5831,1,proponowana akcja sprzedaży,3.86,9.14
19921105,12.2,12.2,12.2,12.2,6992,1,proponowana akcja sprzedaży,3.63,8.57
19921110,12.6,12.6,12.6,12.6,5709,1,proponowana akcja sprzedaży,3.75,8.85
19921112,12.5,12.5,12.5,12.5,2616,1,proponowana akcja sprzedaży,3.72,8.78
19921117,12.5,12.5,12.5,12.5,10716,1,proponowana akcja sprzedaży,3.72,8.78
19921119,12.3,12.3,12.3,12.3,16882,1,proponowana akcja sprzedaży,3.66,8.64
19921124,12.3,12.3,12.3,12.3,11411,1,proponowana akcja sprzedaży,3.66,8.64
19921126,12,12,12,12,6471,1,proponowana akcja sprzedaży,3.57,8.43
19921201,12.3,12.3,12.3,12.3,13606,1,proponowana akcja sprzedaży,3.66,8.64
19921203,12.5,12.5,12.5,12.5,15772,-1,proponowana akcja kupna,4.57,17.07
19921208,13,13,13,13,16250,-1,proponowana akcja kupna,4.75,17.75
19921210,13.5,13.5,13.5,13.5,13252,-1,proponowana akcja kupna,4.93,18.43
19921215,13,13,13,13,11469,-1,proponowana akcja kupna,4.75,17.75
19921217,13,13,13,13,10777,-1,proponowana akcja kupna,4.75,17.75
19921222,13,13,13,13,12508,-1,proponowana akcja kupna,4.75,17.75
19921229,12.5,12.5,12.5,12.5,7256,1,proponowana akcja sprzedaży,3.72,8.78
19930104,12.5,12.5,12.5,12.5,3360,1,proponowana akcja sprzedaży,3.72,8.78
19930105,12.5,12.5,12.5,12.5,4088,1,proponowana akcja sprzedaży,3.72,8.78
19930107,13,13,13,13,7102,-1,proponowana akcja kupna,4.75,17.75
19930111,13.1,13.1,13.1,13.1,3592,-1,proponowana akcja kupna,4.79,17.89
19930112,13.5,13.5,13.5,13.5,6970,-1,proponowana akcja kupna,4.93,18.43
19930114,13.4,13.4,13.4,13.4,5657,-1,proponowana akcja kupna,4.9,18.3
19930118,13.3,13.3,13.3,13.3,3195,-1,proponowana akcja kupna,4.86,18.16
19930119,13,13,13,13,4188,1,proponowana akcja sprzedaży,3.86,9.14
19930121,13,13,13,13,14773,1,proponowana akcja sprzedaży,3.86,9.14
19930125,12.2,12.2,12.2,12.2,9152,1,proponowana akcja sprzedaży,3.63,8.57
19930126,12.5,12.5,12.5,12.5,2980,1,proponowana akcja sprzedaży,3.72,8.78
19930128,12.2,12.2,12.2,12.2,2896,1,proponowana akcja sprzedaży,3.63,8.57
19930201,12.5,12.5,12.5,12.5,2892,1,proponowana akcja sprzedaży,3.72,8.78
19930202,12.2,12.2,12.2,12.2,2959,1,proponowana akcja sprzedaży,3.63,8.57
19930204,12.5,12.5,12.5,12.5,5336,1,proponowana akcja sprzedaży,3.72,8.78
19930208,12.4,12.4,12.4,12.4,4551,1,proponowana akcja sprzedaży,3.69,8.71
19930209,12.5,12.5,12.5,12.5,12404,1,proponowana akcja sprzedaży,3.72,8.78
19930211,12.5,12.5,12.5,12.5,10476,1,proponowana akcja sprzedaży,3.72,8.78
19930215,12.6,12.6,12.6,12.6,5508,-1,proponowana akcja kupna,4.61,17.21
19930216,12.9,12.9,12.9,12.9,13798,-1,proponowana akcja kupna,4.71,17.61
19930218,12.9,12.9,12.9,12.9,12858,-1,proponowana akcja kupna,4.71,17.61
19930222,12.8,12.8,12.8,12.8,7517,-1,proponowana akcja kupna,4.68,17.48
19930223,13,13,13,13,12552,-1,proponowana akcja kupna,4.75,17.75
19930225,13.5,13.5,13.5,13.5,17341,-1,proponowana akcja kupna,4.93,18.43
19930301,13.8,13.8,13.8,13.8,17591,-1,proponowana akcja kupna,5.04,18.84
19930302,14.5,14.5,14.5,14.5,18674,-1,proponowana akcja kupna,5.3,19.8
19930304,15.9,15.9,15.9,15.9,43528,-1,proponowana akcja kupna,5.81,21.71
19930308,16.3,16.3,16.3,16.3,34475,-1,proponowana akcja kupna,5.96,22.26
19930309,16.7,16.7,16.7,16.7,35698,-1,proponowana akcja kupna,6.1,22.8
19930311,17,17,17,17,30806,-1,proponowana akcja kupna,6.21,23.21
19930315,15.6,15.6,15.6,15.6,14686,-1,proponowana akcja kupna,5.7,21.3
19930316,15.8,15.8,15.8,15.8,12829,-1,proponowana akcja kupna,5.77,21.57
19930318,16,16,16,16,13453,-1,proponowana akcja kupna,5.85,21.85
19930322,15.9,15.9,15.9,15.9,13292,-1,proponowana akcja kupna,5.81,21.71
19930323,15.5,15.5,15.5,15.5,5239,1,proponowana akcja sprzedaży,4.61,10.89
19930325,15.9,15.9,15.9,15.9,11642,-1,proponowana akcja kupna,5.81,21.71
19930329,16.1,16.1,16.1,16.1,8488,-1,proponowana akcja kupna,5.88,21.98
19930330,16.4,16.4,16.4,16.4,7131,-1,proponowana akcja kupna,5.99,22.39
19930401,16.5,16.5,16.5,16.5,15476,-1,proponowana akcja kupna,6.03,22.53
19930405,16.7,16.7,16.7,16.7,11407,-1,proponowana akcja kupna,6.1,22.8
19930406,16.9,16.9,16.9,16.9,11840,-1,proponowana akcja kupna,6.18,23.08
19930408,17,17,17,17,23671,-1,proponowana akcja kupna,6.21,23.21
19930413,18.1,18.1,18.1,18.1,15925,-1,proponowana akcja kupna,6.62,24.72
19930415,19.9,19.9,19.9,19.9,21515,-1,proponowana akcja kupna,7.27,27.17
19930419,21.8,21.8,21.8,21.8,13608,-1,proponowana akcja kupna,7.97,29.77
19930420,23.9,23.9,23.9,23.9,20167,-1,proponowana akcja kupna,8.74,32.64
19930422,26.2,26.2,26.2,26.2,24859,-1,proponowana akcja kupna,9.58,35.78
19930426,28.8,28.8,28.8,28.8,32997,-1,proponowana akcja kupna,10.53,39.33
19930427,27.3,27.3,27.3,27.3,29154,-1,proponowana akcja kupna,9.98,37.28
19930429,24.6,24.6,24.6,24.6,18502,-1,proponowana akcja kupna,8.99,33.59
19930504,23,23,23,23,32726,1,proponowana akcja sprzedaży,6.84,16.16
19930506,25.3,25.3,25.3,25.3,0,-1,proponowana akcja kupna,9.25,34.55
19930510,27.8,27.8,27.8,27.8,0,-1,proponowana akcja kupna,10.16,37.96
19930511,30.5,30.5,30.5,30.5,14710,-1,proponowana akcja kupna,11.15,41.65
19930513,33.5,33.5,33.5,33.5,64082,-1,proponowana akcja kupna,12.24,45.74
19930517,33.2,33.2,33.2,33.2,49026,-1,proponowana akcja kupna,12.13,45.33
19930518,35.5,35.5,35.5,35.5,37537,-1,proponowana akcja kupna,12.98,48.48
19930520,39,39,39,39,22294,-1,proponowana akcja kupna,14.25,53.25
19930524,42.9,42.9,42.9,42.9,29409,-1,proponowana akcja kupna,15.68,58.58
19930525,47.1,47.1,47.1,47.1,26684,-1,proponowana akcja kupna,17.22,64.32
19930527,41.5,41.5,41.5,41.5,39594,-1,proponowana akcja kupna,15.17,56.67
19930531,45.6,45.6,45.6,45.6,31876,-1,proponowana akcja kupna,16.67,62.27
19930601,47,47,47,47,23476,-1,proponowana akcja kupna,17.18,64.18
19930603,42.3,42.3,42.3,42.3,22435,-1,proponowana akcja kupna,15.46,57.76
19930607,38.1,38.1,38.1,38.1,0,1,proponowana akcja sprzedaży,11.33,26.77
19930608,34.3,34.3,34.3,34.3,0,1,proponowana akcja sprzedaży,10.2,24.1
19930609,30.9,30.9,30.9,30.9,42751,1,proponowana akcja sprzedaży,9.19,21.71
19930614,33.9,33.9,33.9,33.9,0,1,proponowana akcja sprzedaży,10.08,23.82
19930615,37.2,37.2,37.2,37.2,0,-1,proponowana akcja kupna,13.6,50.8
19930617,40.9,40.9,40.9,40.9,55018,-1,proponowana akcja kupna,14.95,55.85
19930621,39.9,39.9,39.9,39.9,31907,-1,proponowana akcja kupna,14.58,54.48
19930622,43.8,43.8,43.8,43.8,23477,-1,proponowana akcja kupna,16.01,59.81
19930624,48.1,48.1,48.1,48.1,66727,-1,proponowana akcja kupna,17.58,65.68
19930628,48.1,48.1,48.1,48.1,39521,-1,proponowana akcja kupna,17.58,65.68
19930629,50.5,50.5,50.5,50.5,34121,-1,proponowana akcja kupna,18.46,68.96
19930701,55.5,55.5,55.5,55.5,34322,-1,proponowana akcja kupna,20.29,75.79
19930705,61,61,61,61,20830,-1,proponowana akcja kupna,22.3,83.3
19930706,60,60,60,60,19496,-1,proponowana akcja kupna,21.93,81.93
19930708,62.5,62.5,62.5,62.5,32656,-1,proponowana akcja kupna,22.84,85.34
19930712,67,67,67,67,15226,-1,proponowana akcja kupna,24.49,91.49
19930713,64,64,64,64,15306,-1,proponowana akcja kupna,23.39,87.39
19930715,64,64,64,64,15455,-1,proponowana akcja kupna,23.39,87.39
19930719,66.5,66.5,66.5,66.5,27176,-1,proponowana akcja kupna,24.31,90.81
19930720,64.5,64.5,64.5,64.5,11975,-1,proponowana akcja kupna,23.57,88.07
19930722,61.5,61.5,61.5,61.5,18945,-1,proponowana akcja kupna,22.48,83.98
19930726,64.5,64.5,64.5,64.5,9648,-1,proponowana akcja kupna,23.57,88.07
19930727,64.5,64.5,64.5,64.5,7693,-1,proponowana akcja kupna,23.57,88.07
19930729,60,60,60,60,10705,1,proponowana akcja sprzedaży,17.84,42.16
19930802,62,62,62,62,11241,-1,proponowana akcja kupna,22.66,84.66
19930803,59,59,59,59,44750,1,proponowana akcja sprzedaży,17.54,41.46
19930805,61,61,61,61,18684,1,proponowana akcja sprzedaży,18.13,42.87
19930809,67,67,67,67,25377,-1,proponowana akcja kupna,24.49,91.49
19930810,73.5,73.5,73.5,73.5,24248,-1,proponowana akcja kupna,26.86,100.36
19930812,66.5,66.5,66.5,66.5,19562,-1,proponowana akcja kupna,24.31,90.81
19930816,71,71,71,71,32622,-1,proponowana akcja kupna,25.95,96.95
19930817,73.5,73.5,73.5,73.5,25344,-1,proponowana akcja kupna,26.86,100.36
19930819,73.5,73.5,73.5,73.5,43148,-1,proponowana akcja kupna,26.86,100.36
19930823,80.5,80.5,80.5,80.5,27857,-1,proponowana akcja kupna,29.42,109.92
