Date,Open,High,Low,Close,Volume,FinalPrice,AdditionalFee,JsonSerialization
19911126,12.2,12.2,12.2,12.2,9578,15.12,2.92,False
19911203,13.4,13.4,13.4,13.4,0,16.6,3.2,False
19911210,14.7,14.7,14.7,14.7,59201,18.21,3.51,False
19911217,13.3,13.3,13.3,13.3,32690,16.48,3.18,False
19911231,14.6,14.6,14.6,14.6,13129,18.09,3.49,False
19920107,15,15,15,15,17470,18.59,3.59,False
19920109,15,15,15,15,7767,18.59,3.59,False
19920114,14.1,14.1,14.1,14.1,18108,17.47,3.37,False
19920116,14,14,14,14,7666,17.35,3.35,False
19920121,14.6,14.6,14.6,14.6,5041,18.09,3.49,False
19920123,14.8,14.8,14.8,14.8,5301,18.34,3.54,False
19920128,14.6,14.6,14.6,14.6,5676,18.09,3.49,False
19920130,14.5,14.5,14.5,14.5,4547,17.97,3.47,False
19920204,14.4,14.4,14.4,14.4,6926,17.84,3.44,False
19920206,14.6,14.6,14.6,14.6,5585,18.09,3.49,False
19920211,14.3,14.3,14.3,14.3,6333,11.14,3.16,False
19920213,14.8,14.8,14.8,14.8,8265,18.34,3.54,False
19920218,15,15,15,15,13630,18.59,3.59,False
19920220,15,15,15,15,7893,18.59,3.59,False
19920225,15.1,15.1,15.1,15.1,17315,18.71,3.61,False
19920227,15.7,15.7,15.7,15.7,19566,19.45,3.75,False
19920303,17.2,17.2,17.2,17.2,10860,21.31,4.11,False
19920305,18,18,18,18,14245,22.3,4.3,False
19920310,18.6,18.6,18.6,18.6,14620,23.05,4.45,False
19920312,18.9,18.9,18.9,18.9,7433,23.42,4.52,False
19920317,17.2,17.2,17.2,17.2,10412,21.31,4.11,False
19920319,18,18,18,18,9647,22.3,4.3,False
19920324,18,18,18,18,8050,22.3,4.3,False
19920326,18.1,18.1,18.1,18.1,8516,22.43,4.33,False
19920331,17.8,17.8,17.8,17.8,7724,22.05,4.25,False
19920402,17,17,17,17,7674,13.24,3.76,False
19920407,17,17,17,17,7612,13.24,3.76,False
19920409,16.5,16.5,16.5,16.5,6327,12.85,3.65,False
19920414,16.5,16.5,16.5,16.5,7758,12.85,3.65,False
19920416,16.8,16.8,16.8,16.8,6914,13.09,3.71,False
19920423,16.3,16.3,16.3,16.3,11273,12.7,3.6,False
19920428,14.7,14.7,14.7,14.7,5990,11.45,3.25,False
19920430,14,14,14,14,9400,10.91,3.09,False
19920505,14.5,14.5,14.5,14.5,6693,11.3,3.2,False
19920507,15,15,15,15,4233,11.69,3.32,False
19920512,15,15,15,15,4043,11.69,3.32,False
19920514,14.4,14.4,14.4,14.4,3521,11.22,3.18,False
19920519,14.2,14.2,14.2,14.2,3613,11.06,3.14,False
19920521,12.8,12.8,12.8,12.8,4866,9.97,2.83,False
19920526,14,14,14,14,10386,10.91,3.09,False
19920528,14.5,14.5,14.5,14.5,5526,11.3,3.2,False
19920602,14.4,14.4,14.4,14.4,7256,11.22,3.18,False
19920604,13.9,13.9,13.9,13.9,6891,10.83,3.07,False
19920609,12.9,12.9,12.9,12.9,4171,10.05,2.85,False
19920611,12.9,12.9,12.9,12.9,4488,10.05,2.85,False
19920616,11.7,11.7,11.7,11.7,5645,9.11,2.59,False
19920623,10.6,10.6,10.6,10.6,8481,8.26,2.34,False
19920625,11.1,11.1,11.1,11.1,2973,8.65,2.45,False
19920630,12.2,12.2,12.2,12.2,0,9.5,2.7,False
19920702,13.4,13.4,13.4,13.4,0,16.6,3.2,False
19920707,14.7,14.7,14.7,14.7,11395,18.21,3.51,False
19920709,14.9,14.9,14.9,14.9,12604,18.46,3.56,False
19920714,13.8,13.8,13.8,13.8,8330,17.1,3.3,False
19920716,14.4,14.4,14.4,14.4,7604,17.84,3.44,False
19920721,14.3,14.3,14.3,14.3,5846,17.72,3.42,False
19920723,14.3,14.3,14.3,14.3,8416,17.72,3.42,False
19920728,14.7,14.7,14.7,14.7,12956,18.21,3.51,False
19920730,15,15,15,15,12640,18.59,3.59,False
19920804,14.3,14.3,14.3,14.3,7343,17.72,3.42,False
19920806,14.1,14.1,14.1,14.1,2759,10.98,3.12,False
19920811,14.1,14.1,14.1,14.1,6496,10.98,3.12,False
19920813,14.4,14.4,14.4,14.4,2910,17.84,3.44,False
19920818,14.4,14.4,14.4,14.4,5465,17.84,3.44,False
19920820,14.5,14.5,14.5,14.5,9759,17.97,3.47,False
19920825,15,15,15,15,20287,18.59,3.59,False
19920827,14.5,14.5,14.5,14.5,10531,17.97,3.47,False
19920901,13.9,13.9,13.9,13.9,17989,10.83,3.07,False
19920903,14,14,14,14,10250,10.91,3.09,False
19920908,13.7,13.7,13.7,13.7,8109,10.67,3.03,False
19920910,13.9,13.9,13.9,13.9,8180,10.83,3.07,False
19920915,13.5,13.5,13.5,13.5,9284,10.52,2.98,False
19920917,13,13,13,13,12938,10.13,2.87,False
19920922,13.5,13.5,13.5,13.5,11856,10.52,2.98,False
19920924,13.9,13.9,13.9,13.9,13537,17.22,3.32,False
19920929,14.1,14.1,14.1,14.1,23379,17.47,3.37,False
19921001,14.2,14.2,14.2,14.2,22989,17.59,3.39,False
19921006,14.1,14.1,14.1,14.1,10841,17.47,3.37,False
19921008,13.6,13.6,13.6,13.6,5306,10.59,3.01,False
19921013,13,13,13,13,8977,10.13,2.87,False
19921015,13,13,13,13,3612,10.13,2.87,False
19921020,13.3,13.3,13.3,13.3,11728,10.36,2.94,False
19921022,12.9,12.9,12.9,12.9,9676,10.05,2.85,False
19921027,12.5,12.5,12.5,12.5,10612,9.74,2.76,False
19921029,13,13,13,13,11546,10.13,2.87,False
19921103,13,13,13,13,5831,10.13,2.87,False
19921105,12.2,12.2,12.2,12.2,6992,9.5,2.7,False
19921110,12.6,12.6,12.6,12.6,5709,9.82,2.78,False
19921112,12.5,12.5,12.5,12.5,2616,9.74,2.76,False
19921117,12.5,12.5,12.5,12.5,10716,9.74,2.76,False
19921119,12.3,12.3,12.3,12.3,16882,9.58,2.72,False
19921124,12.3,12.3,12.3,12.3,11411,9.58,2.72,False
19921126,12,12,12,12,6471,9.35,2.65,False
19921201,12.3,12.3,12.3,12.3,13606,9.58,2.72,False
19921203,12.5,12.5,12.5,12.5,15772,15.49,2.99,False
19921208,13,13,13,13,16250,16.11,3.11,False
19921210,13.5,13.5,13.5,13.5,13252,16.73,3.23,False
19921215,13,13,13,13,11469,16.11,3.11,False
19921217,13,13,13,13,10777,16.11,3.11,False
19921222,13,13,13,13,12508,16.11,3.11,False
19921229,12.5,12.5,12.5,12.5,7256,9.74,2.76,False
19930104,12.5,12.5,12.5,12.5,3360,9.74,2.76,False
19930105,12.5,12.5,12.5,12.5,4088,9.74,2.76,False
19930107,13,13,13,13,7102,16.11,3.11,False
19930111,13.1,13.1,13.1,13.1,3592,16.23,3.13,False
19930112,13.5,13.5,13.5,13.5,6970,16.73,3.23,False
19930114,13.4,13.4,13.4,13.4,5657,16.6,3.2,False
19930118,13.3,13.3,13.3,13.3,3195,16.48,3.18,False
19930119,13,13,13,13,4188,10.13,2.87,False
19930121,13,13,13,13,14773,10.13,2.87,False
19930125,12.2,12.2,12.2,12.2,9152,9.5,2.7,False
19930126,12.5,12.5,12.5,12.5,2980,9.74,2.76,False
19930128,12.2,12.2,12.2,12.2,2896,9.5,2.7,False
19930201,12.5,12.5,12.5,12.5,2892,9.74,2.76,False
19930202,12.2,12.2,12.2,12.2,2959,9.5,2.7,False
19930204,12.5,12.5,12.5,12.5,5336,9.74,2.76,False
19930208,12.4,12.4,12.4,12.4,4551,9.66,2.74,False
19930209,12.5,12.5,12.5,12.5,12404,9.74,2.76,False
19930211,12.5,12.5,12.5,12.5,10476,9.74,2.76,False
19930215,12.6,12.6,12.6,12.6,5508,15.61,3.01,False
19930216,12.9,12.9,12.9,12.9,13798,15.98,3.08,False
19930218,12.9,12.9,12.9,12.9,12858,15.98,3.08,False
19930222,12.8,12.8,12.8,12.8,7517,15.86,3.06,False
19930223,13,13,13,13,12552,16.11,3.11,False
19930225,13.5,13.5,13.5,13.5,17341,16.73,3.23,False
19930301,13.8,13.8,13.8,13.8,17591,17.1,3.3,False
19930302,14.5,14.5,14.5,14.5,18674,17.97,3.47,False
19930304,15.9,15.9,15.9,15.9,43528,19.7,3.8,False
19930308,16.3,16.3,16.3,16.3,34475,20.2,3.9,False
19930309,16.7,16.7,16.7,16.7,35698,20.69,3.99,False
19930311,17,17,17,17,30806,21.06,4.06,False
19930315,15.6,15.6,15.6,15.6,14686,19.33,3.73,False
19930316,15.8,15.8,15.8,15.8,12829,19.58,3.78,False
19930318,16,16,16,16,13453,19.82,3.82,False
19930322,15.9,15.9,15.9,15.9,13292,19.7,3.8,False
19930323,15.5,15.5,15.5,15.5,5239,12.07,3.43,False
19930325,15.9,15.9,15.9,15.9,11642,19.7,3.8,False
19930329,16.1,16.1,16.1,16.1,8488,19.95,3.85,False
19930330,16.4,16.4,16.4,16.4,7131,20.32,3.92,False
19930401,16.5,16.5,16.5,16.5,15476,20.44,3.94,False
19930405,16.7,16.7,16.7,16.7,11407,20.69,3.99,False
19930406,16.9,16.9,16.9,16.9,11840,20.94,4.04,False
19930408,17,17,17,17,23671,21.06,4.06,False
19930413,18.1,18.1,18.1,18.1,15925,22.43,4.33,False
19930415,19.9,19.9,19.9,19.9,21515,24.66,4.76,False
19930419,21.8,21.8,21.8,21.8,13608,27.01,5.21,False
19930420,23.9,23.9,23.9,23.9,20167,29.61,5.71,False
19930422,26.2,26.2,26.2,26.2,24859,32.46,6.26,False
19930426,28.8,28.8,28.8,28.8,32997,35.68,6.88,False
19930427,27.3,27.3,27.3,27.3,29154,33.82,6.52,False
19930429,24.6,24.6,24.6,24.6,18502,30.48,5.88,False
19930504,23,23,23,23,32726,17.92,5.08,False
19930506,25.3,25.3,25.3,25.3,0,31.35,6.05,False
19930510,27.8,27.8,27.8,27.8,0,34.44,6.64,False
19930511,30.5,30.5,30.5,30.5,14710,37.79,7.29,False
19930513,33.5,33.5,33.5,33.5,64082,41.51,8.01,False
19930517,33.2,33.2,33.2,33.2,49026,41.13,7.93,False
19930518,35.5,35.5,35.5,35.5,37537,43.98,8.48,False
