<DTYYYYMMDD>,<SIGNAL>,<OPEN>,<FACTOR>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<FEE>,<FINALPRICE>
19911126,-1,12.2,,12.2,12.2,12.2,9578,2.92,15.12
19911203,-1,13.4,,13.4,13.4,13.4,0,3.2,16.6
19911210,-1,14.7,,14.7,14.7,14.7,59201,3.51,18.21
19911217,-1,13.3,,13.3,13.3,13.3,32690,3.18,16.48
19911231,-1,14.6,,14.6,14.6,14.6,13129,3.49,18.09
19920107,-1,15,,15,15,15,17470,3.59,18.59
19920109,-1,15,,15,15,15,7767,3.59,18.59
19920114,-1,14.1,,14.1,14.1,14.1,18108,3.37,17.47
19920116,-1,14,,14,14,14,7666,3.35,17.35
19920121,-1,14.6,,14.6,14.6,14.6,5041,3.49,18.09
19920123,-1,14.8,,14.8,14.8,14.8,5301,3.54,18.34
19920128,-1,14.6,,14.6,14.6,14.6,5676,3.49,18.09
19920130,-1,14.5,,14.5,14.5,14.5,4547,3.47,17.97
19920204,-1,14.4,,14.4,14.4,14.4,6926,3.44,17.84
19920206,-1,14.6,,14.6,14.6,14.6,5585,3.49,18.09
19920211,1,14.3,,14.3,14.3,14.3,6333,3.16,11.14
19920213,-1,14.8,,14.8,14.8,14.8,8265,3.54,18.34
19920218,-1,15,,15,15,15,13630,3.59,18.59
19920220,-1,15,,15,15,15,7893,3.59,18.59
19920225,-1,15.1,,15.1,15.1,15.1,17315,3.61,18.71
19920227,-1,15.7,,15.7,15.7,15.7,19566,3.75,19.45
19920303,-1,17.2,,17.2,17.2,17.2,10860,4.11,21.31
19920305,-1,18,,18,18,18,14245,4.3,22.3
19920310,-1,18.6,,18.6,18.6,18.6,14620,4.45,23.05
19920312,-1,18.9,,18.9,18.9,18.9,7433,4.52,23.42
19920317,-1,17.2,,17.2,17.2,17.2,10412,4.11,21.31
19920319,-1,18,,18,18,18,9647,4.3,22.3
19920324,-1,18,,18,18,18,8050,4.3,22.3
19920326,-1,18.1,,18.1,18.1,18.1,8516,4.33,22.43
19920331,-1,17.8,,17.8,17.8,17.8,7724,4.25,22.05
19920402,1,17,,17,17,17,7674,3.76,13.24
19920407,1,17,,17,17,17,7612,3.76,13.24
19920409,1,16.5,,16.5,16.5,16.5,6327,3.65,12.85
19920414,1,16.5,,16.5,16.5,16.5,7758,3.65,12.85
19920416,1,16.8,,16.8,16.8,16.8,6914,3.71,13.09
19920423,1,16.3,,16.3,16.3,16.3,11273,3.6,12.7
19920428,1,14.7,,14.7,14.7,14.7,5990,3.25,11.45
19920430,1,14,,14,14,14,9400,3.09,10.91
19920505,1,14.5,,14.5,14.5,14.5,6693,3.2,11.3
19920507,1,15,,15,15,15,4233,3.32,11.69
19920512,1,15,,15,15,15,4043,3.32,11.69
19920514,1,14.4,,14.4,14.4,14.4,3521,3.18,11.22
19920519,1,14.2,,14.2,14.2,14.2,3613,3.14,11.06
19920521,1,12.8,,12.8,12.8,12.8,4866,2.83,9.97
19920526,1,14,,14,14,14,10386,3.09,10.91
19920528,1,14.5,,14.5,14.5,14.5,5526,3.2,11.3
19920602,1,14.4,,14.4,14.4,14.4,7256,3.18,11.22
19920604,1,13.9,,13.9,13.9,13.9,6891,3.07,10.83
19920609,1,12.9,,12.9,12.9,12.9,4171,2.85,10.05
19920611,1,12.9,,12.9,12.9,12.9,4488,2.85,10.05
19920616,1,11.7,,11.7,11.7,11.7,5645,2.59,9.11
19920623,1,10.6,,10.6,10.6,10.6,8481,2.34,8.26
19920625,1,11.1,,11.1,11.1,11.1,2973,2.45,8.65
19920630,1,12.2,,12.2,12.2,12.2,0,2.7,9.5
19920702,-1,13.4,,13.4,13.4,13.4,0,3.2,16.6
19920707,-1,14.7,,14.7,14.7,14.7,11395,3.51,18.21
19920709,-1,14.9,,14.9,14.9,14.9,12604,3.56,18.46
19920714,-1,13.8,,13.8,13.8,13.8,8330,3.3,17.1
